Date,Trade,Level,Stop Loss,Take Profit,Result
2024-08-01,Sell,150.415,150.63,149.77,Win
2024-08-02,No trade,147.66,,,Invalid (Time Expired)
2024-08-05,Buy,142.319,142.09,143.006,Win
2024-08-06,No trade,144.21,,,Invalid (Time Expired)
2024-08-07,Buy,147.192,146.977,147.837,Loss
2024-08-08,Sell,147.21,147.537,146.229,Loss
2024-08-09,Sell,146.552,146.785,145.853,Loss
2024-08-12,Sell,148.057,148.223,147.559,Win
2024-08-13,Sell,146.875,147.268,145.696,Loss
2024-08-14,No trade,147.41,,,Invalid (Time Expired)
2024-08-15,Buy,149.09,148.899,149.663,Loss
2024-08-16,Sell,147.723,148.266,146.094,Win
2024-08-19,Buy,146.404,146.304,146.704,Loss
